_H:	$phone	%phone_data[1:0]<1:15>	%phone_data[1:1]	%phone_data[1:2]	%phone_data[1:3]	%phone_data[1:4]	%phone_data[1:5]	%phone_data[1:6]	%phone_data[1:7]	%phone_data[1:8]	%phone_data[1:9]	%phone_data[1:10]	%phone_data[1:11]	%phone_data[1:12]	%phone_data[1:13]	%phone_data[1:14]	%duration	%transition	%qssa	%qssb
_D:	"s'"	0	0	0	0.8	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.4	1.31	0.1	111.6	29.6	55.8	55.8
_D:	"sh"	0	0	0	0.4	5.6	2500	2600	1.36	1.74	1.87	0.94	0.37	0.79	0.79	0.1	63.8	24.2	31.9	31.9
_D:	"sh'"	0	0	0	0.4	5.6	2500	2600	1.36	1.74	1.87	0.94	0.37	0.79	0.79	0.1	124.2	24.2	62.1	62.1
_D:	"t"	-10	0	0	0	7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	49.8	24.2	24.9	24.9
_D:	"t'"	-10	0	0	0	7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	70.4	24.2	35.2	35.2
_D:	"th"	0	0	0	0.25	6	4400	4500	1.2	1.5	1.35	1.2	1.2	0.4	1	0.1	54.6	40	27.3	27.3
_D:	"th'"	0	0	0	0.25	6	4400	4500	1.2	1.5	1.35	1.2	1.2	0.4	1.5	0.1	116.2	40	58.1	58.1
_D:	"tx"	-10	0	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	90	24.2	45	45
_D:	"tx'"	-10	0	0	0	6.7	4500	2000	1.31	1.49	1.25	0.76	0.1	1.44	1.31	0.1	107	24.2	53.5	53.5
_D:	"u"	0	60	0	0	5.5	2500	500	0.625	0.6	0.705	1.12	1.93	1.515	0.625	0.1	51	27.8	12.9	12.9
_D:	"u'"	0	60	0	0	5.5	2500	500	0.625	0.6	0.705	1.12	1.93	1.515	0.625	0.1	108.8	27.8	41.8	41.8
_D:	"uh"	0	60	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	1.12	0.1	46.2	27.8	10.4	10.4
_D:	"uh'"	0	60	0	0	5.5	2500	500	0.89	0.99	0.81	0.76	1.05	1.23	1.12	0.1	74	27.8	24.4	24.4
_D:	"un"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	1.5	46.2	27.8	23.1	23.1
_D:	"un'"	0	60	0	0	5.5	2500	500	0.885	0.99	0.81	0.755	1.045	1.225	1.12	1.5	74	27.8	24.4	24.4
_D:	"uu"	0	60	0	0	5.5	2500	500	1.91	1.44	0.6	1.02	1.33	1.56	0.55	0.1	105.2	27.8	40	40
_D:	"uu'"	0	60	0	0	5.5	2500	500	1.91	1.44	0.6	1.02	1.33	1.56	0.55	0.1	145.2	27.8	60	60
_D:	"v"	-1	54	0	0.2	7	3300	1000	0.89	0.99	0.81	0.76	0.89	0.84	0.5	0.1	48.4	44	24.2	24.2
_D:	"v'"	-1	54	0	0.2	7	3300	1000	0.89	0.99	0.81	0.76	0.89	0.84	0.5	0.1	70	44	35	35
_D:	"w"	0	60	0	0	5.5	2500	500	1.91	1.44	0.6	1.02	1.33	1.56	0.55	0.1	47.4	33.7	23.7	23.7
_D:	"w'"	0	60	0	0	5.5	2500	500	1.91	1.44	0.6	1.02	1.33	1.56	0.55	0.1	68.6	33.7	34.3	34.3
_D:	"x"	0	0	0	0.5	2	1770	900	1.7	1.3	0.4	0.99	1.07	0.73	1.49	0.1	98	30	49	49
_D:	"x'"	0	0	0	0.5	2	1770	900	1.7	1.3	0.4	0.99	1.07	0.73	1.49	0.1	124	45	62	62
_D:	"y"	0	60	0	0	5.5	2500	500	1.67	1.91	1.99	0.63	0.29	0.58	1.49	0.25	54.6	37.7	27.3	27.3
_D:	"y'"	0	60	0	0	5.5	2500	500	1.67	1.91	1.99	0.63	0.29	0.58	1.49	0.25	84.4	37.7	42.2	42.2
_D:	"z"	-1	54	0	0.8	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.6	1.31	0.1	56.6	30.4	28.3	28.3
_D:	"z'"	-1	54	0	0.8	5.8	5500	500	1.31	1.49	1.25	0.9	0.2	0.6	1.31	0.1	84.8	30.4	42.4	42.4
_D:	"zh"	-1	54	0	0.4	5.6	2500	2600	1.36	1.74	1.87	0.94	0.37	0.79	0.79	0.1	40	29.6	20	20
_D:	"zh'"	-1	54	0	0.4	5.6	2500	2600	1.36	1.74	1.87	0.94	0.37	0.79	0.79	0.1	83	29.6	41.5	41.5
